Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),file_path
microsoft,surface laptop,ultrabook,"13.5""",touchscreen 2256x1504,intel core i7 7600u 2.8ghz,8gb,256gb ssd,intel iris plus graphics 640,windows,10 s,1.252kg,"1867,85",default.jpg
lenovo,v310-15isk (i5-7200u/8gb/1tb,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,128gb ssd +  1tb hdd,amd radeon r5 m430,windows,10,1.90kg,"817,95",lenovo.webp
lenovo,yoga 720-13ikb,2 in 1 convertible,"13.3""",ips panel full hd / touchscreen 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.3kg,"1034,00",lenovo.webp
lenovo,ideapad 320-15ast,notebook,"15.6""",1366x768,amd e-series e2-9000 2.2ghz,4gb,128gb ssd,amd radeon r2 graphics,windows,10,2.2kg,"349,00",lenovo.webp
hp,pavilion x360,2 in 1 convertible,"14.0""",ips panel full hd / touchscreen 1920x1080,intel core i3 7100u 2.4ghz,4gb,128gb ssd,nvidia geforce 940mx,windows,10,1.63kg,"699,00",hp.jpeg
msi,gp62 7rdx,gaming,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,10,2.4kg,"1294,00",msi.webp
asus,zenbook 3,ultrabook,"14.0""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.1kg,"1135,00",default.jpg
hp,chromebook x360,2 in 1 convertible,"11.6""",touchscreen 1366x768,intel celeron dual core n3350 1.1ghz,8gb,64gb flash storage,intel hd graphics 500,chrome os,,1.4kg,"495,00",hp.jpeg
lg,gram 15z975,ultrabook,"15.6""",ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,512gb ssd,intel hd graphics 620,windows,10,1.09kg,"2299,00",default.jpg
acer,aspire vx5-591g,gaming,"15.6""",full hd 1920x1080,intel core i5 7300hq 2.5ghz,16gb,256gb ssd,nvidia geforce gtx 1050 ti,windows,10,2.5kg,"1299,00",default.jpg
msi,gv62m 7rd,gaming,"15.6""",full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,256gb ssd,nvidia geforce gtx 1050,windows,10,2.2kg,"997,90",msi.webp
asus,l502na-go052t (n3350/4gb/128gb/w10),notebook,"15.6""",1366x768,intel celeron dual core n3350 1.1ghz,4gb,128gb ssd,intel hd graphics 500,windows,10,1.86kg,"419,00",default.jpg
dell,alienware 15,gaming,"15.6""",full hd 1920x1080,intel core i5 7300hq 2.5ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,3.21kg,"2051,00",dell.jpeg
hp,17-bs000nv i3,notebook,"17.3""",ips panel full hd 1920x1080,intel core i3 6006u 2ghz,4gb,256gb ssd,amd radeon r5 520,windows,10,2.5kg,"699,00",hp.jpeg
lenovo,yoga 730,2 in 1 convertible,"13.3""",ips panel full hd / touchscreen 1920x1080,intel core i7 8550u 1.8ghz,8gb,512gb ssd,intel uhd graphics 620,windows,10,1.19kg,"1499,00",lenovo.webp
dell,alienware 15,gaming,"15.6""",full hd 1920x1080,intel core i7 7820hk 2.9ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,10,3.49kg,"2813,75",dell.jpeg
hp,250 g6,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,amd radeon 520,windows,10,1.86kg,"612,61",hp.jpeg
dell,inspiron 3567,notebook,"15.6""",1366x768,intel core i3 6006u 2ghz,4gb,1tb hdd,amd radeon r5 m430,windows,10,2.2kg,"545,67",dell.jpeg
hp,17-y002nv (a10-9600p/6gb/2tb/radeon,notebook,"17.3""",ips panel full hd 1920x1080,amd a10-series 9600p 2.4ghz,6gb,2tb hdd,amd radeon r7 m440,windows,10,2.65kg,"569,00",hp.jpeg
lenovo,v110-15isk (3855u/4gb/500gb/w10),notebook,"15.6""",1366x768,intel celeron dual core 3855u 1.6ghz,4gb,500gb hdd,intel hd graphics 510,windows,10,2.1kg,"318,00",lenovo.webp
acer,chromebook 14,notebook,"14.0""",1366x768,intel celeron dual core 3855u 1.6ghz,4gb,32gb flash storage,intel hd graphics 510,chrome os,,1.45kg,"375,00",default.jpg
lenovo,ideapad 520s-14ikb,notebook,"14.0""",full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,256gb ssd,intel hd graphics 620,windows,10,1.7kg,"699,00",lenovo.webp
hp,zbook 17,workstation,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,500gb hdd,nvidia quadro m1200,windows,10,3.14kg,"1907,99",hp.jpeg
lenovo,thinkpad x1,2 in 1 convertible,"14.0""",touchscreen 2560x1440,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.42kg,"2590,00",lenovo.webp
toshiba,satellite pro,notebook,"13.3""",ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.5kg,"973,00",toshiba.webp
acer,travelmate b117-m,netbook,"11.6""",1366x768,intel celeron dual core n3050 1.6ghz,4gb,32gb flash storage,intel hd graphics,windows,10,1.4kg,"269,00",default.jpg
lenovo,yoga 910-13ikb,2 in 1 convertible,"14.0""",full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,16gb,512gb ssd,intel hd graphics 620,windows,10,1.38kg,"1749,00",lenovo.webp
asus,chromebook flip,2 in 1 convertible,"12.5""",full hd / touchscreen 1920x1080,intel core m m3-6y30 0.9ghz,4gb,64gb flash storage,intel hd graphics 515,chrome os,,1.2kg,"669,00",default.jpg
toshiba,portege z30t-c-133,ultrabook,"13.3""",full hd / touchscreen 1920x1080,intel core i7 6500u 2.5ghz,16gb,512gb ssd,intel hd graphics 520,windows,10,1.36kg,"1877,00",toshiba.webp
hp,15-bs011nv (i7-7500u/4gb/500gb/radeon,notebook,"15.6""",ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,4gb,500gb hdd,amd radeon 530,windows,10,2.1kg,"689,00",hp.jpeg
dell,inspiron 5577,gaming,"15.6""",full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,1tb hdd,nvidia geforce gtx 1050,windows,10,2.56kg,"819,00",dell.jpeg
lenovo,ideapad 320-15ast,notebook,"15.6""",full hd 1920x1080,amd a9-series 9420 2.9ghz,4gb,256gb ssd,amd radeon 530,windows,10,2.2kg,"399,00",lenovo.webp
lenovo,ideapad 320-15abr,notebook,"15.6""",1366x768,amd a12-series 9720p 3.6ghz,8gb,1tb hdd,amd radeon r7,windows,10,2.2kg,"429,00",lenovo.webp
lenovo,v310-15ikb (i5-7200u/4gb/1tb/fhd/w10),notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,1tb hdd +  1tb hdd,intel hd graphics 620,windows,10,2.1kg,"621,45",lenovo.webp
lenovo,v310-15isk (i3-6006u/4gb/500gb/no,notebook,"15.6""",1366x768,intel core i3 6006u 2ghz,4gb,500gb hdd,intel hd graphics 520,no os,,1.90kg,"450,00",lenovo.webp
dell,vostro 5568,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,2.18kg,"795,00",dell.jpeg
acer,spin 5,2 in 1 convertible,"13.3""",ips panel full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,1.6kg,"999,00",default.jpg
lenovo,thinkpad p51s,workstation,"15.6""",full hd 1920x1080,intel core i7 6500u 2.5ghz,16gb,512gb ssd,nvidia quadro m520m,windows,7,2.18kg,"1855,00",lenovo.webp
lenovo,thinkpad t460p,notebook,"14.0""",full hd 1920x1080,intel core i5 6300hq 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.8kg,"1191,00",lenovo.webp
hp,17-ak002nv (a10-9620p/6gb/2tb/radeon,notebook,"17.3""",ips panel full hd 1920x1080,amd a10-series 9620p 2.5ghz,6gb,2tb hdd,amd radeon 530,windows,10,2.71kg,"655,01",hp.jpeg
lenovo,legion y520-15ikbn,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows,10,2.5kg,"1249,00",lenovo.webp
dell,latitude 5480,notebook,"14.0""",full hd 1920x1080,intel core i5 7440hq 2.8ghz,8gb,256gb ssd,nvidia geforce 930mx,linux,,1.64kg,"1089,00",dell.jpeg
dell,vostro 5568,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,1tb hdd,intel hd graphics 620,linux,,1.98kg,"726,00",dell.jpeg
asus,vivobook e403na,notebook,"14.0""",full hd 1920x1080,intel celeron dual core n3350 1.1ghz,4gb,32gb flash storage,intel hd graphics 500,windows,10,1.5kg,"298,00",default.jpg
dell,latitude 5580,notebook,"15.6""",full hd 1920x1080,intel core i5 7300u 2.6ghz,16gb,512gb ssd,intel hd graphics 620,windows,10,1.93kg,"1426,66",dell.jpeg
lenovo,thinkpad e470,notebook,"14.0""",ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,nvidia geforce 920mx,windows,10,1.87kg,"857,07",lenovo.webp
dell,latitude 5580,notebook,"15.6""",full hd 1920x1080,intel core i5 7300u 2.6ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.9kg,"1179,00",dell.jpeg
lenovo,110-15acl (a6-7310/4gb/500gb/w10),notebook,"15.6""",1366x768,amd a6-series 7310 2ghz,4gb,500gb hdd,amd radeon r4,windows,10,2.19kg,"298,00",lenovo.webp
mediacom,smartbook 142,notebook,"14.0""",ips panel full hd 1920x1200,intel atom z8350 1.92ghz,4gb,32gb hdd,intel hd graphics 400,windows,10,1.4kg,"265,00",default.jpg
hp,probook 470,notebook,"17.3""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,nvidia geforce 930mx,windows,10,2.63kg,"1200,00",hp.jpeg
lenovo,thinkpad x1,ultrabook,"14.0""",ips panel quad hd+ 2560x1440,intel core i7 6500u 2.5ghz,8gb,512gb ssd,intel hd graphics 520,windows,10,1.17kg,"1686,64",lenovo.webp
hp,pavilion x360,2 in 1 convertible,"13.3""",ips panel touchscreen 1366x768,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.58kg,"836,60",hp.jpeg
lenovo,thinkpad t470s,ultrabook,"14.0""",ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.32kg,"1499,00",lenovo.webp
dell,alienware 17,gaming,"17.3""",4k ultra hd 3840x2160,intel core i7 7700hq 2.8ghz,32gb,1tb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,10,4.36kg,"3659,40",dell.jpeg
msi,gl72m 7rex,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows,10,2.7kg,"1348,48",msi.webp
lenovo,v310-15ikb (i5-7200u/4gb/1tb/no,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,4gb,1tb hdd,intel hd graphics 620,no os,,1.9kg,"489,90",lenovo.webp
dell,inspiron 5570,notebook,"15.6""",full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,128gb ssd +  1tb hdd,amd radeon 530,windows,10,2.2kg,"719,00",dell.jpeg
dell,inspiron 5378,2 in 1 convertible,"13.3""",full hd / touchscreen 1920x1080,intel core i3 7100u 2.4ghz,4gb,1tb hdd,intel hd graphics 620,windows,10,1.71kg,"649,00",dell.jpeg
dell,inspiron 5567,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,8gb,1tb hdd,amd radeon r7 m445,linux,,2.32kg,"589,52",dell.jpeg
hp,15-bw037na (a9-9420/4gb/1tb/radeon,notebook,"15.6""",full hd 1920x1080,amd a9-series 9420 3ghz,4gb,1tb hdd,amd radeon 520,windows,10,2.1kg,"489,00",hp.jpeg
acer,predator 17,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,4.2kg,"1935,00",default.jpg
dell,inspiron 3567,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,12gb,1tb hdd,intel hd graphics 620,windows,10,2.25kg,"649,00",dell.jpeg
hp,15-bw091nd (a9-9420/6gb/1tb,notebook,"15.6""",full hd 1920x1080,amd a9-series a9-9420 3ghz,6gb,128gb ssd +  1tb hdd,amd radeon 520,windows,10,2.1kg,"650,00",hp.jpeg
acer,extensa ex2540-58kr,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,intel hd graphics 620,windows,10,2.4kg,"559,00",default.jpg
lenovo,thinkpad 13,notebook,"13.3""",ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.44kg,"960,00",lenovo.webp
lenovo,v310-15ikb (i7-7500u/4gb/1tb/fhd/w10),notebook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,4gb,1tb hdd,intel hd graphics 620,windows,10,1.85kg,"779,00",lenovo.webp
hp,zbook 15,workstation,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd,nvidia quadro m2200,windows,10,2.6kg,"2419,00",hp.jpeg
dell,inspiron 5379,2 in 1 convertible,"13.3""",full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8gb,1tb hdd,intel uhd graphics 620,windows,10,1.55kg,"659,00",dell.jpeg
msi,gs63vr 7rf,gaming,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,1.8kg,"2094,48",msi.webp
acer,aspire es1-572,notebook,"15.6""",1366x768,intel core i3 6006u 2ghz,4gb,500gb hdd,intel hd graphics 520,windows,10,2.4kg,"410,80",default.jpg
dell,inspiron 7560,notebook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce 940mx,windows,10,2.0kg,"1207,00",dell.jpeg
dell,vostro 3568,notebook,"15.6""",1366x768,intel core i3 6006u 2ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,2kg,"665,00",dell.jpeg
toshiba,tecra x40-d-10g,notebook,"14.0""",ips panel full hd / touchscreen 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.25kg,"1535,00",toshiba.webp
lenovo,flex 5,2 in 1 convertible,"14.0""",full hd / touchscreen 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.7kg,"999,00",lenovo.webp
lenovo,thinkpad p51s,workstation,"15.6""",ips panel 4k ultra hd 3840x2160,intel core i7 7600u 2.8ghz,16gb,1tb ssd,nvidia quadro m520m,windows,10,2.5kg,"3299,00",lenovo.webp
acer,chromebook 14,notebook,"14.0""",1366x768,intel celeron dual core n3060 1.6ghz,2gb,32gb flash storage,intel hd graphics 400,chrome os,,1.68kg,"330,00",default.jpg
samsung,notebook 9,ultrabook,"13.3""",full hd 1920x1080,intel core i7 7500u 2.7ghz,16gb,256gb ssd,intel hd graphics 620,windows,10,0.81kg,"1649,00",default.jpg
hp,250 g6,notebook,"15.6""",full hd 1920x1080,intel core i3 6006u 2ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.86kg,"539,00",hp.jpeg
dell,latitude 5480,notebook,"14.0""",1366x768,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.6kg,"1126,71",dell.jpeg
hp,zbook 17,workstation,"17.3""",ips panel full hd 1920x1080,intel xeon e3-1535m v5 2.9ghz,16gb,256gb ssd,nvidia quadro m2000m,windows,7,3kg,"4389,00",hp.jpeg
lenovo,n23 (n3060/4gb/128gb/w10),netbook,"11.6""",touchscreen 1366x768,intel celeron dual core n3060 1.6ghz,4gb,128gb ssd,intel hd graphics 400,windows,10,1.4kg,"475,00",lenovo.webp
hp,elitebook 850,notebook,"15.6""",full hd 1920x1080,intel core i5 6300u 2.4ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.84kg,"1900,00",hp.jpeg
asus,x550vx-xx015d (i5-6300hq/4gb/1tb/geforce,notebook,"15.6""",1366x768,intel core i5 6300hq 2.3ghz,4gb,1tb hdd,nvidia geforce gtx 950m,no os,,2.45kg,"579,00",default.jpg
lenovo,thinkpad t460,ultrabook,"14.0""",full hd 1920x1080,intel core i5 6200u 2.3ghz,4gb,1gb ssd,intel hd graphics 520,windows,10,1.7kg,"1096,00",lenovo.webp
asus,pro p2540ua-xo0192r,notebook,"15.6""",1366x768,intel core i7 7500u 2.7ghz,4gb,256gb ssd,intel hd graphics 620,windows,10,2.37kg,"849,90",default.jpg
lenovo,yoga 900-13isk,2 in 1 convertible,"13.3""",ips panel quad hd+ / touchscreen 3200x1800,intel core i5 6260u 1.8ghz,8gb,256gb ssd,intel hd graphics 540,windows,10,1.3kg,"1199,00",lenovo.webp
hp,15-cb003na (i5-7300hq/8gb/1tb,notebook,"15.6""",ips panel full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,10,2.2kg,"1099,00",hp.jpeg
hp,zbook 15,workstation,"15.6""",full hd 1920x1080,intel core i7 6700hq 2.6ghz,8gb,256gb ssd,nvidia quadro m1000m,windows,7,2.59kg,"1561,00",hp.jpeg
dell,alienware 17,gaming,"15.6""",ips panel 4k ultra hd 3840x2160,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,10,4.42kg,"2868,99",dell.jpeg
acer,aspire 3,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,4gb,256gb ssd,intel hd graphics 620,windows,10,2.1kg,"599,00",default.jpg
lenovo,legion y520-15ikbn,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,10,2.5kg,"1048,00",lenovo.webp
dell,latitude 7280,ultrabook,"12.5""",full hd 1920x1080,intel core i7 7600u 2.8ghz,16gb,256gb ssd,intel hd graphics 620,windows,10,1.18kg,"1859,00",dell.jpeg
google,pixelbook (core,ultrabook,"12.3""",touchscreen 2400x1600,intel core i5 7y57 1.2ghz,8gb,256gb ssd,intel hd graphics 615,chrome os,,1.1kg,"1559,00",default.jpg
asus,zenbook ux330ua-ah5q,ultrabook,"13.3""",ips panel quad hd+ 3200x1800,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.2kg,"1129,00",default.jpg
dell,latitude 3380,notebook,"13.3""",1366x768,intel core i3 6006u 2ghz,4gb,500gb hdd,intel hd graphics 520,windows,10,1.65kg,"849,00",dell.jpeg
acer,travelmate p238-m,notebook,"13.3""",1366x768,intel core i5 6200u 2.3ghz,4gb,128gb ssd,intel hd graphics 520,windows,10,1.6kg,"655,00",default.jpg
asus,x751nv-ty001 (n4200/4gb/1tb/geforce,notebook,"17.3""",1366x768,intel pentium quad core n4200 1.1ghz,4gb,1tb hdd,nvidia geforce 920mx,windows,10,2.8kg,"470,34",default.jpg
dell,inspiron 7559,gaming,"15.6""",ips panel touchscreen / 4k ultra hd 3840x2160,intel core i7 6700hq 2.6ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce gtx 960m,windows,10,2.72kg,"1099,00",dell.jpeg
samsung,notebook 9,ultrabook,"13.3""",full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.31kg,"1599,00",default.jpg
acer,aspire a315-31,notebook,"15.6""",1366x768,intel pentium quad core n4200 1.1ghz,4gb,1tb hdd,intel hd graphics 505,linux,,2.1kg,"298,00",default.jpg
dell,inspiron 5567,notebook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,16gb,256gb ssd,amd radeon r7 m445,windows,10,2.3kg,"1181,27",dell.jpeg
samsung,notebook 9,2 in 1 convertible,"15.0""",full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,16gb,256gb ssd,amd radeon 540,windows,10,1.71kg,"1799,00",default.jpg
toshiba,tecra a40-c-1e5,notebook,"14.0""",ips panel 1366x768,intel core i5 6200u 2.3ghz,4gb,128gb ssd,intel hd graphics 520,windows,10,1.75kg,"1020,00",toshiba.webp
dell,inspiron 7567,gaming,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,1tb hdd,nvidia geforce gtx 1050,windows,10,2.62kg,"1099,00",dell.jpeg
hp,elitebook 820,ultrabook,"12.5""",1366x768,intel core i5 6200u 2.3ghz,4gb,256gb ssd,intel hd graphics 520,windows,10,1.26kg,"1244,00",hp.jpeg
asus,q524uq-bhi7t15 (i7-7500u/12gb/2tb/geforce,2 in 1 convertible,"15.6""",full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,12gb,2tb hdd,nvidia geforce 940mx,windows,10,2.3kg,"839,00",default.jpg
lenovo,thinkpad p50,notebook,"15.6""",4k ultra hd 3840x2160,intel core i7 6820hq 2.7ghz,16gb,512gb ssd,nvidia quadro m2000m,windows,7,2.5kg,"2370,00",lenovo.webp
acer,swift 3,notebook,"14.0""",ips panel full hd 1920x1080,intel core i3 7100u 2.4ghz,4gb,128gb ssd,intel hd graphics 620,windows,10,1.8kg,"636,00",default.jpg
razer,blade pro,gaming,"14.0""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,512gb ssd,nvidia geforce gtx 1060,windows,10,1.95kg,"2899,00",default.jpg
asus,vivobook max,notebook,"15.6""",1920x1080,intel pentium dual core n4200 1.1ghz,8gb,128gb ssd,intel hd graphics 505,windows,10,2kg,"581,90",default.jpg
dell,alienware 17,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,32gb,1tb ssd +  1tb hdd,nvidia geforce gtx 1070m,windows,10,4.42kg,"3588,80",dell.jpeg
asus,rog g752vs-ba171t,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,10,4.3kg,"2350,00",default.jpg
toshiba,tecra z40-c-161,ultrabook,"14.0""",ips panel full hd 1920x1080,intel core i7 6600u 2.6ghz,16gb,512gb ssd,nvidia geforce 930m,windows,10,1.47kg,"1764,00",toshiba.webp
lenovo,ideapad 110-15ibr,notebook,"15.6""",1366x768,intel celeron quad core n3710 1.6ghz,8gb,1tb hdd,intel hd graphics 405,no os,,2.2kg,"329,00",lenovo.webp
lenovo,thinkpad t470s,ultrabook,"14.0""",full hd 1920x1080,intel core i7 7500u 2.7ghz,16gb,512gb ssd,intel hd graphics 620,windows,10,1.7kg,"2299,00",lenovo.webp
msi,gs43vr 7re,gaming,"14.0""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,1.6kg,"1891,00",msi.webp
msi,gl62m (i5-7300hq/8gb/1tb,gaming,"15.6""",full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,10,2.2kg,"1089,00",msi.webp
lenovo,legion y520-15ikbn,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,4gb,1tb hdd,nvidia geforce gtx 1050,windows,10,2.4kg,"999,00",lenovo.webp
acer,predator g9-793,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,4.2kg,"2299,00",default.jpg
dell,inspiron 7567,gaming,"15.6""",full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,256gb ssd,nvidia geforce gtx 1050,windows,10,2.62kg,"985,00",dell.jpeg
asus,fx502vm-dm560t (i7-7700hq/8gb/1tb,gaming,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx1060,windows,10,2.24kg,"1339,00",default.jpg
vero,k146 (n3350/4gb/32gb/w10),notebook,"14.0""",1920x1080,intel celeron dual core n3350 1.1ghz,4gb,32gb flash storage,intel hd graphics 500,windows,10,1.22kg,"202,90",default.jpg
lenovo,thinkpad yoga,2 in 1 convertible,"13.3""",ips panel full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,8gb,512gb ssd,intel hd graphics 620,windows,10,1.37kg,"1970,00",lenovo.webp
lenovo,yoga 510-15ikb,2 in 1 convertible,"15.6""",full hd / touchscreen 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,amd radeon r7 m460,windows,10,2.08kg,"959,00",lenovo.webp
apple,"macbook 12""",ultrabook,"12.0""",ips panel retina display 2304x1440,intel core m 1.2ghz,8gb,512gb flash storage,intel hd graphics 5300,mac os,x,0.920kg,"1165,00",apple.jpeg
lenovo,thinkpad x1,2 in 1 convertible,"14.0""",ips panel touchscreen 2560x1440,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.42kg,"2330,00",lenovo.webp
asus,r417na-rs01 (n3350/4gb/32gb/w10),notebook,"14.0""",1366x768,intel celeron dual core n3350 1.1ghz,4gb,32gb flash storage,intel hd graphics 500,windows,10,1.63kg,"299,00",default.jpg
dell,latitude 3580,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,8gb,128gb ssd,intel hd graphics 620,windows,10,1.95kg,"810,00",dell.jpeg
lenovo,yoga 910-13ikb,2 in 1 convertible,"13.9""",ips panel full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.38kg,"1349,00",lenovo.webp
dell,vostro 5568,notebook,"15.6""",full hd 1920x1080,intel core i3 6006u 2ghz,8gb,256gb ssd,amd radeon r5 m420x,windows,10,2kg,"739,00",dell.jpeg
hp,zbook 17,workstation,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,256gb ssd,nvidia quadro m2200,windows,10,3.14kg,"2064,90",hp.jpeg
asus,pro p2540ua-xs51,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,2.37kg,"1099,00",default.jpg
dell,xps 13,ultrabook,"13.3""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.29kg,"1499,00",dell.jpeg
dell,xps 15,notebook,"15.6""",4k ultra hd / touchscreen 3840x2160,intel core i5 7300hq 2.5ghz,8gb,256gb ssd,nvidia geforce gtx 1050,windows,10,2.06kg,"1749,00",dell.jpeg
dell,latitude 3180,netbook,"11.6""",1366x768,intel pentium quad core n4200 1.1ghz,4gb,128gb ssd,intel hd graphics 505,windows,10,1.63kg,"744,00",dell.jpeg
hp,elitebook 820,netbook,"12.5""",1366x768,intel core i5 7300u 2.6ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.26kg,"1389,00",hp.jpeg
toshiba,satellite pro,notebook,"15.6""",1366x768,intel core i5 6200u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows,10,2.1kg,"780,00",toshiba.webp
